City,Latitude,Longitude,Temperature_C,Humidity_Percent,WindSpeed_kmh,DateTime,FetchedAtUTC,Temperature_F,Date,Hour,Day_Name,Weather_Category
Addis Ababa,9.03,38.74,21.9,50.0,4.8,2026-06-28 08:45:00,2026-06-28 08:45:18+00:00,71.42,2026-06-28,8,Sunday,Warm
Nairobi,-1.29,36.82,23.5,52.0,8.0,2026-06-28 08:45:00,2026-06-28 08:45:21+00:00,74.3,2026-06-28,8,Sunday,Warm
Cairo,30.04,31.24,33.0,36.0,6.1,2026-06-28 08:45:00,2026-06-28 08:45:21+00:00,91.4,2026-06-28,8,Sunday,Hot
Lagos,6.52,3.37,26.6,49.0,6.1,2026-06-28 08:45:00,2026-06-28 08:45:22+00:00,79.88,2026-06-28,8,Sunday,Warm
Johannesburg,-26.2,28.04,12.5,58.0,8.5,2026-06-28 08:45:00,2026-06-28 08:45:23+00:00,54.5,2026-06-28,8,Sunday,Cold
